sample,latency_ns,latency_cycles,poll_iterations
1,8550.0,427.50,1
2,7340.0,367.00,1
3,7320.0,366.00,1
4,7320.0,366.00,1
5,7320.0,366.00,1
6,7320.0,366.00,1
7,7320.0,366.00,1
8,7320.0,366.00,1
9,7320.0,366.00,1
10,7320.0,366.00,1
11,7320.0,366.00,1
12,7320.0,366.00,1
13,7320.0,366.00,1
14,7320.0,366.00,1
15,7320.0,366.00,1
16,7320.0,366.00,1
17,7320.0,366.00,1
18,7320.0,366.00,1
19,7320.0,366.00,1
20,7320.0,366.00,1
21,7320.0,366.00,1
22,7320.0,366.00,1
23,7320.0,366.00,1
24,7320.0,366.00,1
25,7320.0,366.00,1
26,7320.0,366.00,1
27,7320.0,366.00,1
28,7330.0,366.50,1
29,7320.0,366.00,1
30,7320.0,366.00,1
31,7320.0,366.00,1
32,7320.0,366.00,1
33,7320.0,366.00,1
34,7320.0,366.00,1
35,7320.0,366.00,1
36,7320.0,366.00,1
37,7320.0,366.00,1
38,7320.0,366.00,1
39,7320.0,366.00,1
40,7320.0,366.00,1
41,7320.0,366.00,1
42,7320.0,366.00,1
43,7320.0,366.00,1
44,7320.0,366.00,1
45,7320.0,366.00,1
46,7320.0,366.00,1
47,7320.0,366.00,1
48,7320.0,366.00,1
49,7320.0,366.00,1
50,7320.0,366.00,1
51,7320.0,366.00,1
52,7320.0,366.00,1
53,7320.0,366.00,1
54,7320.0,366.00,1
55,7320.0,366.00,1
56,7320.0,366.00,1
57,7320.0,366.00,1
58,7320.0,366.00,1
59,7320.0,366.00,1
60,7330.0,366.50,1
61,7320.0,366.00,1
62,7320.0,366.00,1
63,7320.0,366.00,1
64,7320.0,366.00,1
65,7320.0,366.00,1
66,7320.0,366.00,1
67,7320.0,366.00,1
68,7320.0,366.00,1
69,7320.0,366.00,1
70,7320.0,366.00,1
71,7320.0,366.00,1
72,7320.0,366.00,1
73,7320.0,366.00,1
74,7320.0,366.00,1
75,7320.0,366.00,1
76,7320.0,366.00,1
77,7320.0,366.00,1
78,7320.0,366.00,1
79,7320.0,366.00,1
80,7320.0,366.00,1
81,7320.0,366.00,1
82,7320.0,366.00,1
83,7320.0,366.00,1
84,7320.0,366.00,1
85,7320.0,366.00,1
86,7320.0,366.00,1
87,7320.0,366.00,1
88,7320.0,366.00,1
89,7320.0,366.00,1
90,7320.0,366.00,1
91,7320.0,366.00,1
92,7320.0,366.00,1
93,7320.0,366.00,1
94,7320.0,366.00,1
95,7320.0,366.00,1
96,7320.0,366.00,1
97,7320.0,366.00,1
98,7320.0,366.00,1
99,7320.0,366.00,1
100,7320.0,366.00,1
101,7320.0,366.00,1
102,7320.0,366.00,1
103,7320.0,366.00,1
104,7320.0,366.00,1
105,7320.0,366.00,1
106,7320.0,366.00,1
107,7320.0,366.00,1
108,7320.0,366.00,1
109,7320.0,366.00,1
110,7320.0,366.00,1
111,7320.0,366.00,1
112,7320.0,366.00,1
113,7320.0,366.00,1
114,7320.0,366.00,1
115,7320.0,366.00,1
116,7320.0,366.00,1
117,7320.0,366.00,1
118,7320.0,366.00,1
119,7320.0,366.00,1
120,7320.0,366.00,1
121,7320.0,366.00,1
122,7320.0,366.00,1
123,7320.0,366.00,1
124,7320.0,366.00,1
125,7320.0,366.00,1
126,7320.0,366.00,1
127,7320.0,366.00,1
128,7320.0,366.00,1
129,7320.0,366.00,1
130,7320.0,366.00,1
131,7320.0,366.00,1
132,7320.0,366.00,1
133,7320.0,366.00,1
134,7320.0,366.00,1
135,7320.0,366.00,1
136,7320.0,366.00,1
137,7320.0,366.00,1
138,7320.0,366.00,1
139,7320.0,366.00,1
140,7320.0,366.00,1
141,7320.0,366.00,1
142,7320.0,366.00,1
143,7320.0,366.00,1
144,7320.0,366.00,1
145,7320.0,366.00,1
146,7320.0,366.00,1
147,7320.0,366.00,1
148,7320.0,366.00,1
149,7320.0,366.00,1
150,7320.0,366.00,1
151,7320.0,366.00,1
152,7320.0,366.00,1
153,7320.0,366.00,1
154,7320.0,366.00,1
155,7320.0,366.00,1
156,7320.0,366.00,1
157,7320.0,366.00,1
158,7320.0,366.00,1
159,7320.0,366.00,1
160,7320.0,366.00,1
161,7320.0,366.00,1
162,7320.0,366.00,1
163,7320.0,366.00,1
164,7320.0,366.00,1
165,7320.0,366.00,1
166,7320.0,366.00,1
167,7320.0,366.00,1
168,7320.0,366.00,1
169,7320.0,366.00,1
170,7320.0,366.00,1
171,7320.0,366.00,1
172,7320.0,366.00,1
173,7320.0,366.00,1
174,7320.0,366.00,1
175,7320.0,366.00,1
176,7320.0,366.00,1
177,7320.0,366.00,1
178,7320.0,366.00,1
179,7320.0,366.00,1
180,7320.0,366.00,1
181,7320.0,366.00,1
182,7320.0,366.00,1
183,7320.0,366.00,1
184,7320.0,366.00,1
185,7320.0,366.00,1
186,7320.0,366.00,1
187,7320.0,366.00,1
188,7320.0,366.00,1
189,7320.0,366.00,1
190,7320.0,366.00,1
191,7320.0,366.00,1
192,7320.0,366.00,1
193,7320.0,366.00,1
194,7320.0,366.00,1
195,7320.0,366.00,1
196,7320.0,366.00,1
197,7320.0,366.00,1
198,7320.0,366.00,1
199,7320.0,366.00,1
200,7320.0,366.00,1
201,7320.0,366.00,1
202,7320.0,366.00,1
203,7320.0,366.00,1
