sample,latency_ns,latency_cycles,total_poll_iterations
1,38460.0,1923.00,3
2,37440.0,1872.00,3
3,37440.0,1872.00,3
4,37440.0,1872.00,3
5,37440.0,1872.00,3
6,37440.0,1872.00,3
7,37440.0,1872.00,3
8,37440.0,1872.00,3
9,37440.0,1872.00,3
10,37440.0,1872.00,3
11,37440.0,1872.00,3
12,37420.0,1871.00,3
13,37420.0,1871.00,3
14,37420.0,1871.00,3
15,37420.0,1871.00,3
16,37420.0,1871.00,3
17,37420.0,1871.00,3
18,37420.0,1871.00,3
19,37420.0,1871.00,3
20,37420.0,1871.00,3
21,37420.0,1871.00,3
22,37420.0,1871.00,3
23,37420.0,1871.00,3
24,37420.0,1871.00,3
25,37420.0,1871.00,3
26,37420.0,1871.00,3
27,37420.0,1871.00,3
28,37420.0,1871.00,3
29,37420.0,1871.00,3
30,37420.0,1871.00,3
31,37420.0,1871.00,3
32,37420.0,1871.00,3
33,37420.0,1871.00,3
34,37420.0,1871.00,3
35,37420.0,1871.00,3
36,37420.0,1871.00,3
37,37420.0,1871.00,3
38,37420.0,1871.00,3
39,37420.0,1871.00,3
40,37420.0,1871.00,3
41,37420.0,1871.00,3
42,37420.0,1871.00,3
43,37420.0,1871.00,3
44,37420.0,1871.00,3
45,37420.0,1871.00,3
46,37420.0,1871.00,3
47,37420.0,1871.00,3
48,37420.0,1871.00,3
49,37420.0,1871.00,3
50,37420.0,1871.00,3
51,37420.0,1871.00,3
52,37420.0,1871.00,3
53,37420.0,1871.00,3
54,37420.0,1871.00,3
55,37420.0,1871.00,3
56,37420.0,1871.00,3
57,37420.0,1871.00,3
58,37420.0,1871.00,3
59,37420.0,1871.00,3
60,37420.0,1871.00,3
61,37420.0,1871.00,3
62,37420.0,1871.00,3
63,37420.0,1871.00,3
64,37420.0,1871.00,3
65,37420.0,1871.00,3
66,37420.0,1871.00,3
67,37420.0,1871.00,3
68,37420.0,1871.00,3
69,37420.0,1871.00,3
70,37420.0,1871.00,3
71,37420.0,1871.00,3
72,37420.0,1871.00,3
73,37420.0,1871.00,3
74,37420.0,1871.00,3
75,37420.0,1871.00,3
76,37420.0,1871.00,3
77,37420.0,1871.00,3
78,37420.0,1871.00,3
79,37420.0,1871.00,3
80,37420.0,1871.00,3
81,37420.0,1871.00,3
82,37420.0,1871.00,3
83,37420.0,1871.00,3
84,37420.0,1871.00,3
85,37420.0,1871.00,3
86,37420.0,1871.00,3
87,37420.0,1871.00,3
88,37420.0,1871.00,3
89,37420.0,1871.00,3
90,37420.0,1871.00,3
91,37420.0,1871.00,3
92,37420.0,1871.00,3
93,37420.0,1871.00,3
94,37420.0,1871.00,3
95,37420.0,1871.00,3
96,37420.0,1871.00,3
97,37420.0,1871.00,3
98,37420.0,1871.00,3
99,37420.0,1871.00,3
100,37420.0,1871.00,3
101,37420.0,1871.00,3
102,37420.0,1871.00,3
103,37420.0,1871.00,3
104,37420.0,1871.00,3
105,37420.0,1871.00,3
106,37420.0,1871.00,3
107,37420.0,1871.00,3
108,37420.0,1871.00,3
109,37420.0,1871.00,3
110,37420.0,1871.00,3
111,37420.0,1871.00,3
112,37420.0,1871.00,3
113,37420.0,1871.00,3
114,37420.0,1871.00,3
115,37420.0,1871.00,3
116,37420.0,1871.00,3
117,37420.0,1871.00,3
118,37420.0,1871.00,3
119,37420.0,1871.00,3
120,37420.0,1871.00,3
121,37420.0,1871.00,3
122,37420.0,1871.00,3
123,37420.0,1871.00,3
124,37420.0,1871.00,3
125,37420.0,1871.00,3
126,37420.0,1871.00,3
127,37420.0,1871.00,3
128,37420.0,1871.00,3
129,37420.0,1871.00,3
130,37420.0,1871.00,3
131,37420.0,1871.00,3
132,37420.0,1871.00,3
133,37420.0,1871.00,3
134,37420.0,1871.00,3
135,37420.0,1871.00,3
136,37420.0,1871.00,3
137,103420.0,5171.00,3
